beispiel kann meine: 1
beistehen es wird: 1
beitet was ich: 1
bekannten einjährigen besprach: 1
bekomme wie mir: 1
bekommen meine zukunft: 1
bekommt es den: 1
bekämpfen sondern ich: 1
bekämpft ist gleichsam: 1
belagerung den ganzen: 1
belagerung gesprochen alle: 1
belauschte eben ein: 1
belügen muß einen: 1
belügen sich über: 1
bemeistern immer wieder: 1
bemerkung nach meinem: 1
bemerkungen und mit: 1
bemüht zu arbeiten: 1
benahmen sich wie: 1
benehme mich also: 1
benehmen und gelingt: 1
benützen die du: 1
beobachtungsstand zu kommen: 1
bequem auch das: 1
bequem doch geschieht: 1
bereit bin ein: 1
bereitschaft gott sei: 1
bereitschaft mein kommandant: 1
berg hinan am: 1
bergen große kälte: 1
beruhigen schlechter schlaf: 1
beruhigend klingende nachrichten: 1
berührt von seiner: 1
berührung komme wird: 1
besatzung darauf wache: 1
bescheidener werden mit: 1
beschissen fühle mich: 1
beschossen dachte an: 1
beschossen und bei: 1
beschossen war verzagt: 1
beschossen wie gott: 1
beschränkt das macht: 1
beschränkt sie sind: 1
beschütze mich mein: 1
beschütze mich und: 1
beschütze mich was: 1
besitzen es ist: 1
besitzen etwas gearbeitet: 1
besoffenen eine gesellschaft: 1
besonderes außer daß: 1
besonders heute sehr: 1
besonders meine kleinliche: 1
besorgt belauschte eben: 1
besorgt dachte es: 1
besorgt darüber daß: 1
besorgt weil ich: 1
besorgungen die belagerung: 1
besorgungen gemacht dann: 1
besorgungen jetzt zu: 1
besprach mit ihm: 1
besser arbeiten gott: 1
besser arbeiten könnte: 1
besser arbeiten war: 1
besser arbeiten zu: 1
besser geht ist: 1
besser sehr sinnlich: 1
besser sein unglücklich: 1
bessere mich dann: 1
besserer stimmung erfuhr: 1
besserer stimmung nur: 1
besserer stimmung sinnlich: 1
besseres der einzige: 1
bessern menschen werden: 1
besserung zu sehen: 1
beste was du: 1
beste wäre für: 1
besteht möge mir: 1
besten wär s: 1
bester gesundheit und: 1
bestes mehr kannst: 1
bestimmt in keinem: 1
bestimmte arbeit der: 1
bestimmtheit erwartet ich: 1
bestrahlen zu lassen: 1
beständiger werden bin: 1
besuch eines generals: 1
besuch im irrenhaus: 1
besuchen möge der: 1
besuchen wie gerne: 1
betrachten daß ich: 1
betrachtungen aber sie: 1
betreffend ist noch: 1
betreibe mit allen: 1
betrug wer in: 1
bett aber in: 1
bett heraus und: 1
bett morgen oder: 1
bett schlafen zu: 1
bett wie es: 1
beunruhigt bei den: 1
beunruhigt mich bin: 1
bewahren aber wenn: 1
bewahren häng nur: 1
bewegung mache schlafe: 1
bewußt sein vormitt: 1
bewußt wird brief: 1
beziehen sollen und: 1
beziehen wird er: 1
beziehung ganz tot: 1
bibel steht so: 1
bild des lebens: 1
bin aber jetzt: 1
bin aber nicht: 1
